"x","y"
"227_2332",227,2332
"227_2756",227,2756
"227_3180",227,3180
"227_3604",227,3604
"227_4028",227,4028
"227_4452",227,4452
"681_1908",681,1908
"681_2332",681,2332
"681_2756",681,2756
"681_3180",681,3180
"681_3604",681,3604
"681_4028",681,4028
"681_4452",681,4452
"681_4876",681,4876
"1135_1484",1135,1484
"1135_1908",1135,1908
"1135_2332",1135,2332
"1135_2756",1135,2756
"1135_3180",1135,3180
"1135_3604",1135,3604
"1135_4028",1135,4028
"1135_4876",1135,4876
"1135_5300",1135,5300
"1135_9540",1135,9540
"1135_9964",1135,9964
"1135_10388",1135,10388
"1135_10812",1135,10812
"1589_1060",1589,1060
"1589_1484",1589,1484
"1589_1908",1589,1908
"1589_2332",1589,2332
"1589_2756",1589,2756
"1589_4876",1589,4876
"1589_5300",1589,5300
"1589_8692",1589,8692
"1589_9116",1589,9116
"1589_9540",1589,9540
"1589_9964",1589,9964
"1589_10388",1589,10388
"1589_10812",1589,10812
"1589_11236",1589,11236
"1589_11660",1589,11660
"1589_12084",1589,12084
"1589_12508",1589,12508
"2043_1484",2043,1484
"2043_1908",2043,1908
"2043_2332",2043,2332
"2043_2756",2043,2756
"2043_4876",2043,4876
"2043_5300",2043,5300
"2043_5724",2043,5724
"2043_7420",2043,7420
"2043_8692",2043,8692
"2043_9116",2043,9116
"2043_9540",2043,9540
"2043_9964",2043,9964
"2043_10388",2043,10388
"2043_10812",2043,10812
"2043_11236",2043,11236
"2043_11660",2043,11660
"2043_12084",2043,12084
"2043_12508",2043,12508
"2043_12932",2043,12932
"2043_13356",2043,13356
"2497_1060",2497,1060
"2497_1484",2497,1484
"2497_1908",2497,1908
"2497_2332",2497,2332
"2497_2756",2497,2756
"2497_4876",2497,4876
"2497_5300",2497,5300
"2497_5724",2497,5724
"2497_8692",2497,8692
"2497_9116",2497,9116
"2497_9540",2497,9540
"2497_9964",2497,9964
"2497_10388",2497,10388
"2497_10812",2497,10812
"2497_11236",2497,11236
"2497_11660",2497,11660
"2497_12084",2497,12084
"2497_12508",2497,12508
"2497_12932",2497,12932
"2497_13356",2497,13356
"2497_13780",2497,13780
"2497_14204",2497,14204
"2951_1060",2951,1060
"2951_1484",2951,1484
"2951_1908",2951,1908
"2951_2332",2951,2332
"2951_2756",2951,2756
"2951_4876",2951,4876
"2951_5300",2951,5300
"2951_8692",2951,8692
"2951_9116",2951,9116
"2951_9540",2951,9540
"2951_9964",2951,9964
"2951_10388",2951,10388
"2951_10812",2951,10812
"2951_11236",2951,11236
"2951_11660",2951,11660
"2951_12084",2951,12084
"2951_12508",2951,12508
"2951_12932",2951,12932
"2951_13356",2951,13356
"2951_13780",2951,13780
"2951_14204",2951,14204
"3405_1060",3405,1060
"3405_1484",3405,1484
"3405_1908",3405,1908
"3405_2332",3405,2332
"3405_2756",3405,2756
"3405_5300",3405,5300
"3405_6572",3405,6572
"3405_6996",3405,6996
"3405_8692",3405,8692
"3405_9116",3405,9116
"3405_9540",3405,9540
"3405_9964",3405,9964
"3405_10388",3405,10388
"3405_10812",3405,10812
"3405_11236",3405,11236
"3405_11660",3405,11660
"3405_12084",3405,12084
"3405_12508",3405,12508
"3405_12932",3405,12932
"3405_13356",3405,13356
"3405_13780",3405,13780
"3405_14204",3405,14204
"3405_14628",3405,14628
"3405_15052",3405,15052
"3859_1060",3859,1060
"3859_1484",3859,1484
"3859_1908",3859,1908
"3859_2332",3859,2332
"3859_5300",3859,5300
"3859_5724",3859,5724
"3859_6148",3859,6148
"3859_6572",3859,6572
"3859_6996",3859,6996
"3859_8692",3859,8692
"3859_9116",3859,9116
"3859_9540",3859,9540
"3859_9964",3859,9964
"3859_10388",3859,10388
"3859_10812",3859,10812
"3859_11236",3859,11236
"3859_11660",3859,11660
"3859_12084",3859,12084
"3859_12508",3859,12508
"3859_12932",3859,12932
"3859_13356",3859,13356
"3859_13780",3859,13780
"3859_14204",3859,14204
"3859_14628",3859,14628
"3859_15052",3859,15052
"4313_1060",4313,1060
"4313_1484",4313,1484
"4313_1908",4313,1908
"4313_2332",4313,2332
"4313_2756",4313,2756
"4313_5300",4313,5300
"4313_5724",4313,5724
"4313_6148",4313,6148
"4313_6572",4313,6572
"4313_8692",4313,8692
"4313_9116",4313,9116
"4313_9540",4313,9540
"4313_9964",4313,9964
"4313_10388",4313,10388
"4313_10812",4313,10812
"4313_11660",4313,11660
"4313_12084",4313,12084
"4313_12508",4313,12508
"4313_12932",4313,12932
"4313_13356",4313,13356
"4313_13780",4313,13780
"4313_14204",4313,14204
"4313_14628",4313,14628
"4313_15052",4313,15052
"4313_15476",4313,15476
"4767_1060",4767,1060
"4767_1484",4767,1484
"4767_1908",4767,1908
"4767_2332",4767,2332
"4767_2756",4767,2756
"4767_3180",4767,3180
"4767_8692",4767,8692
"4767_9116",4767,9116
"4767_9540",4767,9540
"4767_9964",4767,9964
"4767_12508",4767,12508
"4767_12932",4767,12932
"4767_13356",4767,13356
"4767_13780",4767,13780
"4767_14628",4767,14628
"4767_15052",4767,15052
"4767_15476",4767,15476
"4767_15900",4767,15900
"5221_636",5221,636
"5221_1060",5221,1060
"5221_1484",5221,1484
"5221_1908",5221,1908
"5221_2332",5221,2332
"5221_2756",5221,2756
"5221_6572",5221,6572
"5221_6996",5221,6996
"5221_7420",5221,7420
"5221_7844",5221,7844
"5221_8268",5221,8268
"5221_8692",5221,8692
"5221_9116",5221,9116
"5221_9540",5221,9540
"5221_9964",5221,9964
"5221_10812",5221,10812
"5221_11236",5221,11236
"5221_11660",5221,11660
"5221_12508",5221,12508
"5221_12932",5221,12932
"5221_13356",5221,13356
"5221_13780",5221,13780
"5221_14204",5221,14204
"5221_15476",5221,15476
"5221_15900",5221,15900
"5675_1060",5675,1060
"5675_1484",5675,1484
"5675_1908",5675,1908
"5675_2332",5675,2332
"5675_2756",5675,2756
"5675_5724",5675,5724
"5675_6148",5675,6148
"5675_6572",5675,6572
"5675_6996",5675,6996
"5675_7420",5675,7420
"5675_7844",5675,7844
"5675_8268",5675,8268
"5675_9116",5675,9116
"5675_9540",5675,9540
"5675_9964",5675,9964
"5675_10388",5675,10388
"5675_10812",5675,10812
"5675_11660",5675,11660
"5675_12084",5675,12084
"5675_12508",5675,12508
"5675_12932",5675,12932
"5675_13356",5675,13356
"5675_13780",5675,13780
"5675_14204",5675,14204
"5675_14628",5675,14628
"5675_15476",5675,15476
"6129_1060",6129,1060
"6129_1484",6129,1484
"6129_1908",6129,1908
"6129_2332",6129,2332
"6129_2756",6129,2756
"6129_5724",6129,5724
"6129_6148",6129,6148
"6129_6572",6129,6572
"6129_6996",6129,6996
"6129_7420",6129,7420
"6129_7844",6129,7844
"6129_8268",6129,8268
"6129_9116",6129,9116
"6129_9540",6129,9540
"6129_10388",6129,10388
"6129_10812",6129,10812
"6129_11236",6129,11236
"6129_11660",6129,11660
"6129_12508",6129,12508
"6129_12932",6129,12932
"6129_13356",6129,13356
"6129_13780",6129,13780
"6129_14204",6129,14204
"6129_14628",6129,14628
"6129_15052",6129,15052
"6129_15476",6129,15476
"6583_1484",6583,1484
"6583_1908",6583,1908
"6583_2332",6583,2332
"6583_2756",6583,2756
"6583_3180",6583,3180
"6583_5300",6583,5300
"6583_5724",6583,5724
"6583_6148",6583,6148
"6583_6572",6583,6572
"6583_6996",6583,6996
"6583_7420",6583,7420
"6583_7844",6583,7844
"6583_8268",6583,8268
"6583_9116",6583,9116
"6583_9540",6583,9540
"6583_10388",6583,10388
"6583_10812",6583,10812
"6583_11236",6583,11236
"6583_11660",6583,11660
"6583_12084",6583,12084
"6583_12508",6583,12508
"6583_12932",6583,12932
"6583_13356",6583,13356
"6583_13780",6583,13780
"6583_14204",6583,14204
"6583_14628",6583,14628
"6583_15052",6583,15052
"6583_15476",6583,15476
"7037_1060",7037,1060
"7037_1484",7037,1484
"7037_1908",7037,1908
"7037_2332",7037,2332
"7037_2756",7037,2756
"7037_3180",7037,3180
"7037_4876",7037,4876
"7037_5300",7037,5300
"7037_5724",7037,5724
"7037_6148",7037,6148
"7037_6572",7037,6572
"7037_6996",7037,6996
"7037_7420",7037,7420
"7037_7844",7037,7844
"7037_8268",7037,8268
"7037_9540",7037,9540
"7037_9964",7037,9964
