"Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"TBX5",0.0315200171794039,0.00278089196885942,0.0097173532866632,0,0.0142573549170571,0.00251141733293602,0.00990792599483654,0.00525850469407595,0.00207451273080315,0.00582436644873125,0.0134832371681127,0.00697312617967815
"PAM",0.107286961342171,0.0459801189284351,0.0175010178878913,0.0908765768906871,0.00722275972013016,0.00328664938389719,0.0122519682660906,0.0113355532015033,0.00674628824014937,0.00398648630835744,0.00523070888474849,0.0118594972284424
"ISL1",0.00077783248975981,8.51207816092349e-05,0,0,0.00115935264652945,0,0.000297507510637481,0.000262689894312512,5.4687240508911e-05,0,0.00292858815438973,0
"TPM1",0.0262190819615742,0.006884126040916,0.0207580029764557,0.0100831732121545,0.0220504569037578,0.00575691670306339,0.0113920633356899,0.0125037023393987,0.00583423542489188,0.0353521979129244,0.0136484361393285,0.0271728383632719
"NPPA",0.118323346977088,0.0079679419054035,0.0344687465318562,0.0175808216506042,0.00207650010352491,0.00246858696278185,0.00315972686377466,0.00339402005547709,0.00233576626560593,0.0398114404520761,0.00259996474939652,0.0401788234538864
"SLC8A1",0.0195111781260348,0.00137644813752392,0.0482241413271212,0.0021642860438838,0.00139440797640318,0.000977301935683942,0.00207161871805731,0.00568729783190096,0.000884756173152171,0.00191939994679861,0.00245383547030999,0.0225822165928328
"MYOM1",0.0241506802215921,0.00139364344615099,0.00603250173671947,0.00542701581223966,0.000923791780162255,0.000616956053081583,0.000994251627474612,0.00247003527874963,0.000440314528015696,0.00254176456902626,0.00102793839712237,0.0299061328403812
"TNNI1",0.0295773069436254,0.00470128405251964,0.0179557192295951,0.00915504046896302,0.017490776451924,0.00168010522892334,0.00220736719127589,0.00337730114338527,0.00185324066335487,0.0368801296228392,0.00213757281454653,0.0340707225433034
"MYOZ2",0.0205916898375141,0.0033790604178159,0.019179736140815,0.00470672853508456,0.000467672087525837,0.00141351351267716,0.000882752781507266,0.00186940475548992,0.0013943690630208,0.0508992534679568,0.000769455025241053,0.0221862688977107
"MYH6",0.143086197006674,0.00259095630635368,0.00658796934930281,0.0045580507038905,0.00142158666254539,0.00120003139240383,0.00168054019742462,0.000901651716884043,0.000760183697571363,0.00543169041970156,0.00188360861889262,0.00391923472703652
"LDB3",0.0346664302438146,0.00235626701316667,0.00977085171682246,0.00319556899220579,0.000907120154564754,0.000833861608633393,0.000525188128241614,0.000816735750784913,0.000701982041736871,0.00963932475587237,0.00109368871780329,0.0289868746457056
"MYBPC3",0.0707485433885052,0.00540035432890779,0.0162896549476627,0.00917484027862754,0.00199555642008318,0.00134826439942024,0.00163435039171418,0.00382022552260922,0.00275190017639145,0.00896823111320743,0.00147684810433437,0.0702093410213598
"HSPB7",0.0260451246925322,0.0042081498761646,0.0162231878196563,0.00612230387750954,0.0131281550897489,0.0025467075168923,0.00491311255369053,0.0036835269587439,0.00193292564775861,0.0430514565922996,0.00319990557120397,0.035062104015421
"SORBS2",0.0204271011849933,0.0029267861537709,0.00807379815582129,0.00945472259023054,0.0101902413404176,0.00288873894062829,0.00801981590991314,0.00229060560164334,0.00155134742884861,0.00541039808281958,0.00163231316736438,0.0444964347622163
"COL3A1",0.0178922215572141,0.384102020438192,0.0308825794733251,0.0432290609279889,0.0407480066277998,0.108261614606935,0.0996026234116956,0.207806311722976,0.147418181007648,0.00099475335948694,0.104631204589145,0.00347410301339703
"ELN",0.0104507893140232,0.0775115613247492,0.0457967005906205,0.0104467660484458,0.00612767103478933,0.0303947620031965,0.0445371405773508,0.0321488797909205,0.0207867917369132,0.000159351151117029,0.12021119164714,0.000916541944941778
"CRABP2",0.00348250723298256,0.0893397878214526,0.0134129373028577,0.00327073465287746,0.02317313998639,0.0354221383610555,0.0499993565758702,0.00393000053333557,0.00693691887838786,0.00285922730120679,0.110980938790366,0.00994207835283327
"GJA4",0.000535123501163116,0.182892423891289,0.00347588491469842,0.258623527767129,0.000921134227394507,0.000575935287664741,0.000656445457569138,0.0209976220898375,0.000312737130642481,0,0.000742552836169964,0.000360207859750552
"CLU",0.000195906279738861,0.0056472446579462,0.00111569414972965,0.00164055171872086,0.00155023857583846,0.000392179727131435,0.0107802935179094,0.000447640803085411,0.000866873140221075,9.94435018722643e-05,0.000983848612859985,0.000691758093270026
"ALDH1A1",0.00021685981303185,0.0025324554163445,0.00898412261213371,0.000986040635153325,0.000311386862733279,0.000194035821034851,0.000264111227706267,4.80281486297481e-05,4.61162388243784e-05,3.93074185437159e-05,0.00271117885274832,4.32543278256779e-05
"FAM46C",0.000191135373733288,0.00204033176034664,0,0.000871433253243984,0.00223947572289066,0.000308742555123939,0.00019779747508649,0,0.000179272004009269,0,0.000124239730014195,0.000745378585002997
"TMEM100",0.000943797875961041,0.151211443587132,0,0.00733624166204308,0,0.000465912721676483,0.00323841786726996,0.000767627734606875,0.000874025365472531,9.52327079434665e-05,0.000752161253337539,0.00359510590081772
"NAV1",0.00253192475434654,0.0191403837946295,0.0596681354234577,0.0642710552740904,0.000591953066425708,0.00107886622645149,0.00251954248256708,0.0105409529706341,0.00399858315193215,0.00147131792329007,0.00200205229174325,0.0179374525228397
"SLC39A8",0.00152124552627087,0.00491179753581643,0.0223961998822769,0.00898025408036219,0.00324293954589819,0.000842941669567196,0.000789047435913806,0.00237291026618021,0.000654280890869747,0.000239111813257383,0.000475524764100947,0.00172458642535703
"TOP2A",0.00618565311917372,0.0111666470719454,0.0800016933624265,0.0551119314014389,0.00281537760261092,0.00748101537310682,0.0202216568456352,0.0281967158341782,0.022598973586173,0.00413455554451365,0.0206155110074743,0.00641003804849016
"COL9A2",0.000526111114833773,0.000663196407222676,0.00801282778231304,0.00104575169228868,0.00103335067754217,0.00060470212452462,0.0212290719792843,0.000456964751633065,0.000808797004779015,0,0.00151290144816695,7.52541488975762e-05
"STMN2",0,0.00332357228196731,0.0241260254447292,0.00373985513149137,0.00082922687623812,0.00029666585477064,0.000709182738715032,0.000653568800747307,0.000402826912384649,0,0.00756332541796044,4.4299246559594e-05
"FAM210B",0.0039582584338125,0.0174352871599615,0.0293047635877415,0.0490486221545582,0.00967640006443283,0.00560188689250462,0.0113074629749237,0.0134335411804104,0.00703869802004816,0.00218155254167338,0.00620456431232671,0.00600917074405174
"NUSAP1",0.00905212330845183,0.0202962044893098,0.0984411666892775,0.10633449930557,0.00630515795172958,0.011559915260338,0.0296589018405562,0.0373191730232869,0.0309291227619516,0.0188140488082764,0.0274404444185888,0.0131976417777866
"FABP3",0.0158864627865419,0.00365984836811633,0.0535227490587669,0.00623261991782576,0.00284497755067436,0.00135689954240393,0.00229394156091831,0.00232180581454171,0.00180416971707163,0.0455327678047739,0.00124357086680789,0.0251899299069263
"MYL2",0.00382067454742818,0.0157285533592349,0.0702433132388568,0.0261721125882021,0.00422899811550749,0.00519889316462537,0.00452063405997513,0.0102843326205624,0.00880906731401889,0.176456593749573,0.00148698259282926,0.122704058549491
"MT2A",0.000778276843541498,0.00505747520586273,0.0355989791419807,0.0238133318260438,0.000645239235320692,0.00080762234368497,0.0014511071347868,0.0232244564443254,0.00184035280862555,0.000778778241327247,0.000477032852636667,0.00210122637401721
"MT1F",0.000588988148094696,0.00123205939627361,0.0108734215251796,0.000179768595441741,0,0.000177500475755612,0.000140596437167665,0.000562910874935541,7.40221975447539e-05,0.000543991721262693,6.20865289859832e-05,0.000344235302945147
"CDK1",0.00376637787719517,0.00948458788802068,0.0399168740259957,0.0417152310326908,0.00505533910697348,0.0045627653456208,0.0100486820980753,0.0131957061024015,0.0100380034910934,0.00924410611961896,0.00778322016354753,0.00310777812525391
"NOV",0.000107724287908546,0.000990292421684862,0.0015015123815491,0.000840878224445118,0,0.000206719930914959,0.00517925491251688,0.000186964856939315,0.000202138720992998,0,0.00113790470512611,2.09426069685895e-05
"CLDN5",0.00029893594263014,0.00485357498534425,0,0.277520098447683,9.11311458530156e-05,0.000217283203208786,8.8107557689681e-05,0.00105005568951907,0.000101047138077156,0,8.27519478945752e-05,0.000217017920938288
"TM4SF18",0.000166292714849474,0.00217974114948899,0,0.168968051718883,0.000132800676185187,6.79976502586741e-05,4.30067365990018e-05,0,5.70935183976687e-05,0,4.8131797236966e-05,3.77871748970655e-05
"CPE",0.00520246188765834,0.00750702624758066,0.00719051092249995,0.00243873468598092,0.0538199208996351,0.012115617482774,0.00957229340863748,0.0182801266400112,0.00664930695093815,0.000214063724444234,0.0692223590179563,0.000217814309818356
"LRRN3",0.000878839785412172,0.00101860381128887,0,0.000671895307418985,0.0079540497834154,0.01211282802525,0.00515781049731027,0.00268418965890102,0.00386200254492477,2.20879174354246e-05,0.00193214449798806,0.000339684769114666
"MYRF",0.0021732960634649,0.00224611300934471,0,0,0.136191610431587,0.00757349584539258,0.00903767260952672,0.0071475474199079,0.00232847714860513,0.000259317408756742,0.00667493266869246,0.00290870681295433
"TBX18",0.00736117510501889,0.00194649538456627,0.023587357748076,0.0029513710895991,0.117508994134519,0.0242339381250906,0.00806076885177552,0.0195684378925072,0.0135286789544539,0,0.00986206348759334,0.000484016687529275
"TNNT1",0.000330234355884125,0.000580386869454714,0.00347097218510765,0.00142894364798424,0.109113247671319,0.00250458367941447,0.00085435614461836,0.000290494259340519,0.000229377249689678,6.09416403134515e-05,0.000467094643846993,0.000514070462206216
"PCSK1N",0.000709739815548484,0.000354357241999067,0,0,0.0013757805274893,0.000108942695743184,0.00185901509026264,0,0,3.51607664233235e-05,0.00177029519507595,3.24344295605122e-05
"SBSPON",0.00022593497420455,0.00187031164644484,0,0.000468819065184104,0.0544907661692056,0.000293773076792573,8.21252407572048e-05,0.000718086369178749,7.82113348410804e-05,0.000229121743204205,0.000513534470786601,0.000741008722434011
"ITLN1",0.000136219769135988,0.00264884807712814,0.00252060508120426,0.0022258715993111,0.227845338719924,0.000211868538649161,0.000614508106715593,0.000520518293600847,0.000231461419149395,0.000173636514875077,0.000268144307577907,0.000238840852906626
"EFNA5",9.65156198695427e-05,5.23713280231405e-05,0,0.000217455633858317,0.000778391095426915,0.000294941541194127,0.000163150992518869,0.000124317529730428,0.0001514653157928,8.36124768884002e-06,0.00106705451311509,4.72385363492321e-05
"COL1A1",0.0206361527623579,0.0389746833980161,0.043205351486346,0.00930423673990325,0.0624301982693319,0.223379913389879,0.181493975216597,0.201156207131058,0.205085617361607,0.000755873919577504,0.158165005346963,0.00484154642341812
"MFAP2",0.0074386134620814,0.0527713655927082,0.0355310160539185,0.0504082966246387,0.0540705749959524,0.0840787738154298,0.108715209745672,0.0621488415425061,0.0493986287788642,0.000527041580118769,0.0864817165630399,0.00686528045839078
"COL1A2",0.0210087602581793,0.146856876447635,0.0555475471746324,0.111091801239963,0.0416506167522609,0.194810320453828,0.200844503423647,0.204905198170768,0.194084628092846,0.00199361729708559,0.166192505845791,0.00379336090161818
"PTN",0.00970479583682659,0.00418162099635915,0.0175254130481977,0.00645929009444967,0.012776672508438,0.167038021807033,0.118030667074055,0.03741569980303,0.128126924876845,0.000840636283377932,0.0975966068918615,0.00438809213532592
"TCF21",0.00230167635015866,0.00111271749735088,0.0118898757517346,0.00490890648271802,0.00450243731730859,0.0617767598207021,0.0369065439181533,0.0297154367550684,0.0759249632282469,9.0067580602112e-05,0.0205893172830298,0.00384949800955611
"OGN",0.00243882614006292,0.00152518720084059,0,0.00757313534851736,0.0103774725535146,0.0313649005563643,0.0063939337184807,0.00155176606320067,0.0133695455369349,0,0.0963646673966575,0.000624576948533626
"FBLN5",0.00397940541125428,0.00433992858414142,0.0113296057230748,0.00297859053999951,0.00499383407133799,0.0173938119782654,0.00905446633973666,0.00464064723735484,0.00479088805131201,3.34802683790425e-05,0.0469410787041521,0.000830697574049359
"ISLR",0.00232375135804465,0.00823055728121787,0.0077832961462109,0.0250042502048497,0.0162860342801418,0.0750425261545933,0.0324344948225847,0.0154993308172552,0.0433787304343639,0.000255801866979777,0.0619313517677953,0.000733107340367712
"RSPO3",0.0026051129603229,0.00274606436943969,0,0,0.00821831426942071,0.00520638168500521,0.0543229894480819,0,0.00139573226854749,7.27677556407041e-05,0.00704028901589165,0.000554019782166562
"LUM",0.000830656054083122,0.00148782634760743,0.00116416452012112,0.00101307017417516,0.000782072396841624,0.007413675758627,0.00278286684640336,0.00908058277156975,0.0303903076223192,9.41052286987169e-06,0.00252668420939006,0.000198041803619205
"EBF2",0.00112278520804266,0.00096198987102969,0,0,0.000151747421593306,0.0151335373597698,0.00921428637125261,0.0346058717309425,0.0494039058981058,0.00052665452026436,0.0141965645367774,0.000568715068388044
"CCDC102B",0.00118090605174429,0.00241260438024826,0,0.00543981050799202,0.00225959939593804,0.00491387210386831,0.001627213041502,0.0636881941441559,0.0199808556700481,8.4768479701549e-05,0.00136472146267234,0.000424220046785239
"TRIL",0.00106731594411888,0.00120168764218714,0.00631919784354206,0.00329919647603373,0.0103968330704139,0.00674405005610959,0.00725395859894322,0.0193677349744316,0.0290751814947758,0.000222089896094496,0.00162953589029708,0.000219902933743001
"COX4I2",0.000294931578316217,0.000786335666355261,0,0,0.000132556263469163,0.000114263503811428,0.000169862612833126,0.0100752523470587,0.000279658266667774,0,0.000170107157648207,8.40895324099033e-06
"FOXS1",0.00014093621008705,0.000415471011901701,0.00107066674577375,0.000202558573524763,0.00128257970922831,0.00111416191692782,0.000546345672585089,0.0147148705672229,0.00143565352297389,4.99555671463932e-05,0.00063580617248827,1.32120334743662e-05
"MYL3",0.0522131233154985,0.02589882320322,0.102083679269661,0.0573022570010226,0.00695617499331535,0.0102385430015609,0.0102064580446672,0.0181950734528625,0.0126004089264622,0.258216661532208,0.00575961440440624,0.223791376101579
"MYH7",0.0134911754800082,0.0163144086817127,0.0539708201227912,0.0355194302278778,0.00426828736397116,0.00379454121760051,0.00342613178469525,0.0100692857162362,0.00771135599255097,0.0422751091340512,0.00151133745654617,0.310872900070511
