"Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"227_2332",0.716082158193394,8.87530636530224e-10,0.00932777973075035,6.43768970974243e-10,0.179757362907025,0.0518857745920062,0.0429468989605771,1.02560046583749e-08,7.43607870327551e-09,2.01129188358361e-09,3.27365486620804e-09,1.10791821069598e-09
"227_2756",0.837459859518774,0.0043315405084809,0.0189754680692965,6.20423489903484e-09,0.139232836724656,4.91803445816855e-08,3.6742926636856e-08,2.99448867517834e-08,9.81654075703877e-08,3.20777746977577e-08,2.34230400520035e-08,1.94401773139212e-08
"227_3180",0.808916124102747,9.92339459211259e-09,1.10284057352141e-07,6.53806101863075e-09,0.191083488338254,6.56978633689217e-08,4.42881191351763e-08,3.63997931588376e-08,3.96153173906753e-08,3.02015227634616e-08,2.57008956424708e-08,1.89099747527999e-08
"227_3604",0.580526099468128,0.00126279054923702,4.98070928929525e-09,1.97682306754491e-09,0.403753195089587,8.93398575492218e-09,9.04648732153285e-08,0.0144577980781502,6.60818306158305e-09,1.3991993685233e-09,1.7069303944591e-09,7.44193165840432e-10
"227_4028",0.366712621095192,1.58695364293033e-10,0.0170730523995837,1.17463621675311e-10,0.616214322191077,8.66784982862336e-10,5.22661811817309e-10,5.2387635939289e-10,5.73149384517407e-10,3.63011250391594e-10,9.51753275317624e-10,2.36750864051168e-10
"227_4452",0.403118625923091,2.9445391341955e-08,0.0287432452896685,2.24163386035919e-08,0.55804436930156,1.43699348742402e-07,8.94137378254201e-08,7.96811500001135e-08,0.0100931349213367,1.12611290481883e-07,9.81842060442909e-08,4.91128804504968e-08
"681_1908",0.805478410480536,6.98323469339398e-10,0.0465096435451679,5.3738342480273e-10,0.13370561795833,0.0119468169470318,3.51307398879387e-09,3.55911462049439e-08,0.00235945785718634,2.29457533728484e-09,9.35534146131572e-09,1.22190448265226e-09
"681_2332",0.84620167732942,2.58775810992506e-09,3.35712159883681e-08,1.3951297372891e-09,0.153798226992391,9.87678133460061e-09,6.77272204087685e-09,1.12750330234399e-08,1.37650007355551e-08,7.51361468060844e-09,4.17544582966667e-09,4.74548711087313e-09
"681_2756",0.921868860477497,0.0725252395603879,0.00560566965326315,1.08058239718522e-08,7.89023626207463e-09,2.02899194685643e-08,4.8793337378694e-08,3.41787351159525e-08,2.2555463991781e-08,4.63967662708083e-08,1.57612867914006e-08,2.36372824398169e-08
"681_3180",0.833587171262397,0.124755698544877,0.0416571154470151,4.73638887867299e-10,2.85809738494153e-10,1.592202934161e-09,2.08680023608239e-09,1.7193347664443e-09,4.22582173599427e-09,1.44658892658441e-09,2.07980225281771e-09,8.35711878929088e-10
"681_3604",0.975233028391166,0.0247566796846251,2.23303094345145e-06,2.6323758085452e-07,2.03853097983811e-07,7.02750113861826e-07,1.6257087387957e-06,1.59500485004335e-06,1.60429733769088e-06,1.02120270741429e-06,3.93816087015308e-07,6.49022751787094e-07
"681_4028",0.120910365032324,0.00161390312725887,0.0017564735550358,0.000270293320758958,0.000949052695372716,0.00207631517022902,0.00100899739342682,0.00111073213050194,0.00195596325555127,0.683202744721886,0.00118200283457958,0.183963156763075
"681_4452",0.987571614342106,0.0124283364800921,6.00284684047217e-09,3.67828607955792e-09,3.00081904947621e-09,3.0490345347059e-09,3.33555305262253e-09,3.88809187807076e-09,3.11189610407319e-09,1.29218055225204e-08,2.96316527058639e-09,7.22630314037249e-09
"681_4876",0.788655772278498,1.0069959254833e-08,2.39531164190856e-08,6.33729050643979e-09,0.191580893515245,0.0197630131769557,7.1562910920692e-08,3.30290231555878e-08,9.7321831520833e-08,2.72717238028973e-08,3.27409725537472e-08,1.87424728030517e-08
"1135_1484",0.974249650203051,6.85883915655089e-08,0.0257488600873403,4.06369515957159e-08,5.12921740753052e-08,1.3680197852136e-07,1.16156074756462e-07,1.0529802283899e-07,1.0664798540603e-07,4.57317627282516e-07,1.34980205990407e-07,2.71990196337745e-07
"1135_1908",0.994558227192987,2.45600933735094e-08,7.15107862172906e-08,1.40278408792162e-08,0.00544138579836974,2.72926875402708e-08,2.79862963524942e-08,3.03709751964499e-08,2.68917737596838e-08,8.79331133130729e-08,2.64980234056798e-08,4.99370527866022e-08
"1135_2332",0.956368208760246,0.0418998517200909,1.15665834181253e-08,3.37383176766109e-09,0.00173186215160028,4.72236896726525e-09,5.20885824677466e-09,2.23967510991123e-08,5.97077055922077e-09,1.31245973925344e-08,3.77646130040021e-09,7.22784051789201e-09
"1135_2756",0.978257304175917,0.012107327832606,0.00963396973242278,8.77554093891243e-08,5.0658928263252e-08,1.43956152795232e-07,1.33759911947415e-07,2.80944135774459e-07,1.22004893358317e-07,2.8649762959248e-07,8.95429355622466e-08,2.03139057055723e-07
"1135_3180",0.942304737425749,0.0140244688709291,0.0430161888332322,5.97249869176062e-08,0.000653483502076788,9.97453262964755e-08,9.59031327663678e-08,1.25855096022688e-07,1.14987212588426e-07,3.44221550202844e-07,7.44334029769894e-08,2.0649730508438e-07
"1135_3604",0.970581448192072,0.0294182086350956,1.10384850895873e-07,2.02665455631943e-08,1.16487785578006e-08,1.73842988753916e-08,1.93441776479596e-08,2.97391185713165e-08,1.81817117568266e-08,5.59625431094829e-08,1.46429161755927e-08,4.56178910887065e-08
"1135_4028",0.924356895433651,0.0425813738640574,1.05007932877056e-07,3.2821173665362e-08,0.00588169113047561,3.06899394970107e-08,3.46218126830006e-08,0.0271796512175631,3.72066115464065e-08,7.71311284996584e-08,3.14237180952608e-08,3.94519362656824e-08
